데이터키,25-Jan,25-Feb,25-Mar,25-Apr,25-May,25-Jun,25-Jul,25-Aug,25-Sep,25-Oct,25-Nov,25-Dec
손익요약_헤더_영업이익_텍스트,-,-,-,-,-,-,-,-,-,-,,
손익요약_TAG가_당월실적_전년,"2,369","2,703","2,834","3,163","2,911","2,320","1,926","3,261","2,996","2,823","3,203",
손익요약_TAG가_당월실적_전년비율,-,-,-,-,-,-,-,-,-,-,,
손익요약_TAG가_당월실적_당년,"2,205","2,255","3,047","2,578","2,592","2,746","3,194","3,445","3,298","3,974","7,618",
손익요약_TAG가_당월실적_당년비율,-,-,-,-,-,-,-,-,-,-,,
손익요약_TAG가_당월실적_전년비,-164,-448,213,-586,-319,426,"1,268",185,301,"1,150","4,415",
손익요약_TAG가_당월실적_YOY,93%,83%,108%,81%,89%,118%,166%,106%,110%,141%,238%,
손익요약_TAG가_연간누적_전년,"2,369","5,072","7,906","11,069","13,981","16,301","18,227","21,488","24,484","27,308","30,725",
손익요약_TAG가_연간누적_전년비율,-,-,-,-,-,-,-,-,-,-,,
손익요약_TAG가_연간누적_당년,"2,205","4,461","7,508","10,086","12,678","15,424","18,618","22,063","25,361","29,334","36,952",
손익요약_TAG가_연간누적_당년비율,-,-,-,-,-,-,-,-,-,-,,
손익요약_TAG가_연간누적_전년비,-164,-611,-398,-984,"-1,303",-877,390,575,876,"2,027","6,227",
손익요약_TAG가_연간누적_YOY,93%,88%,95%,91%,91%,95%,102%,103%,104%,107%,121%,
손익요약_실판(v+)_당월실적_전년,"1,606","1,596","1,833","1,972","1,894","1,399","1,200","1,734","1,727","1,680","1,893",
손익요약_실판(v+)_당월실적_전년비율,32.90%,43.30%,36.00%,38.90%,41.70%,40.70%,40.20%,48.30%,43.60%,41.90%,41.70%,
손익요약_실판(v+)_당월실적_당년,"1,336","1,246","1,817","1,633","1,696","1,700","1,631","1,590","1,695","1,936","3,003",
손익요약_실판(v+)_당월실적_당년비율,41.00%,45.60%,41.50%,37.50%,35.20%,38.50%,50.40%,52.30%,50.10%,52.30%,61.20%,
손익요약_실판(v+)_당월실적_전년비,-270,-350,-16,-338,-197,301,432,-144,-33,255,"1,111",
손익요약_실판(v+)_당월실적_YOY,83%,78%,99%,83%,90%,122%,136%,92%,98%,115%,159%,
손익요약_실판(v+)_연간누적_전년,"1,606","3,202","5,035","7,007","8,901","10,299","11,499","13,234","14,961","16,641","18,534",
손익요약_실판(v+)_연간누적_전년비율,32.90%,43.30%,36.00%,38.90%,41.70%,40.70%,40.20%,48.30%,43.60%,41.90%,41.70%,
손익요약_실판(v+)_연간누적_당년,"1,336","2,582","4,399","6,032","7,729","9,428","11,060","12,650","14,344","16,280","19,283",
손익요약_실판(v+)_연간누적_당년비율,41.00%,43.40%,42.60%,41.30%,40.00%,39.80%,41.60%,43.10%,44.00%,45.20%,48.50%,
손익요약_실판(v+)_연간누적_전년비,-270,-620,-637,-975,"-1,172",-871,-439,-584,-617,-361,749,
손익요약_실판(v+)_연간누적_YOY,83%,81%,87%,86%,87%,92%,96%,96%,96%,98%,104%,
손익요약_생산원가_당월실적_전년,19.60%,19.40%,19.40%,19.00%,19.30%,18.80%,19.00%,19.30%,19.40%,19.30%,20.70%,
손익요약_생산원가_당월실적_당년,20.00%,19.80%,21.40%,21.50%,21.40%,21.10%,21.30%,20.40%,20.10%,20.80%,20.60%,
손익요약_생산원가_당월실적_전년비,+0.3%p,+0.4%p,+2.0%p,+2.5%p,+2.1%p,+2.3%p,+2.3%p,+1.2%p,+0.6%p,+1.5%p,-0.1%p,
손익요약_생산원가_당월실적_YOY,102%,102%,110%,113%,111%,112%,112%,106%,103%,108%,100%,
손익요약_생산원가_연간누적_전년,19.60%,19.50%,19.50%,19.40%,19.30%,19.30%,19.20%,19.20%,19.30%,19.30%,19.50%,
손익요약_생산원가_연간누적_당년,20.00%,19.90%,20.50%,20.80%,20.90%,20.90%,21.00%,20.90%,20.80%,20.80%,20.10%,
손익요약_생산원가_연간누적_전년비,+0.3%p,+0.4%p,+1.0%p,+1.4%p,+1.5%p,+1.7%p,+1.8%p,+1.7%p,+1.5%p,+1.5%p,+0.6%p,
손익요약_생산원가_연간누적_YOY,102%,102%,105%,107%,108%,109%,109%,109%,108%,108%,103%,
손익요약_매출이익_당월실적_전년,"1,116",996,"1,290","1,383","1,244","1,073",853,"1,103","1,146","1,111","1,230",
손익요약_매출이익_당월실적_전년비율,70.00%,62.00%,70.00%,70.00%,66.00%,77.00%,71.00%,64.00%,66.00%,66.00%,64.90%,
손익요약_매출이익_당월실적_당년,954,856,"1,273","1,096","1,152","1,130",980,900,"1,001","1,124","1,431",
손익요약_매출이익_당월실적_당년비율,71.00%,69.00%,70.00%,67.00%,68.00%,67.00%,60.00%,57.00%,59.00%,58.00%,47.70%,
손익요약_매출이익_당월실적_전년비,-163,-140,-16,-288,-92,58,128,-204,-145,13,201,
손익요약_매출이익_당월실적_YOY,85%,86%,99%,79%,93%,105%,115%,82%,87%,101%,116%,
손익요약_매출이익_연간누적_전년,"1,116","2,113","3,402","4,786","6,030","7,103","7,956","9,059","10,205","11,316","12,546",
손익요약_매출이익_연간누적_전년비율,70.00%,66.00%,68.00%,68.00%,68.00%,69.00%,69.00%,68.00%,68.00%,68.00%,67.70%,
손익요약_매출이익_연간누적_당년,954,"1,810","3,083","4,179","5,331","6,461","7,441","8,341","9,342","10,466","11,897",
손익요약_매출이익_연간누적_당년비율,71.00%,70.00%,70.00%,69.00%,69.00%,69.00%,67.00%,66.00%,65.00%,64.00%,61.70%,
손익요약_매출이익_연간누적_전년비,-163,-303,-319,-607,-699,-642,-514,-718,-863,-851,-649,
손익요약_매출이익_연간누적_YOY,85%,86%,91%,87%,88%,91%,94%,92%,92%,92%,95%,
손익요약_직접비_당월실적_전년,531,447,620,618,681,624,501,561,593,558,567,
손익요약_직접비_당월실적_전년비율,33.00%,28.00%,34.00%,31.00%,36.00%,45.00%,42.00%,32.00%,34.00%,33.00%,30.00%,
손익요약_직접비_당월실적_당년,479,441,585,590,592,567,568,534,727,869,857,
손익요약_직접비_당월실적_당년비율,22.00%,20.00%,19.00%,23.00%,23.00%,21.00%,18.00%,16.00%,22.00%,22.00%,28.50%,
손익요약_직접비_당월실적_전년비,-52,-6,-35,-28,-88,-57,67,-26,134,311,289,
손익요약_직접비_당월실적_YOY,90%,99%,94%,95%,87%,91%,113%,95%,123%,156%,151%,
손익요약_직접비_연간누적_전년,531,978,"1,598","2,216","2,897","3,521","4,022","4,583","5,176","5,734","6,301",
손익요약_직접비_연간누적_전년비율,33.00%,31.00%,32.00%,32.00%,33.00%,34.00%,35.00%,35.00%,35.00%,34.00%,33.90%,
손익요약_직접비_연간누적_당년,479,920,"1,506","2,096","2,688","3,255","3,823","4,358","5,084","5,954","6,810",
손익요약_직접비_연간누적_당년비율,36.00%,36.00%,34.00%,35.00%,35.00%,35.00%,35.00%,34.00%,35.00%,37.00%,35.30%,
손익요약_직접비_연간누적_전년비,-52,-58,-92,-120,-209,-266,-199,-225,-91,220,509,
손익요약_직접비_연간누적_YOY,90%,94%,94%,95%,93%,92%,95%,95%,98%,104%,108%,
손익요약_직접이익_당월실적_전년,585,549,670,766,564,448,351,543,553,553,662,
손익요약_직접이익_당월실적_전년비율,25.00%,20.00%,24.00%,24.00%,19.00%,19.00%,18.00%,17.00%,19.00%,20.00%,34.90%,
손익요약_직접이익_당월실적_당년,474,415,688,506,560,563,412,365,274,255,584,
손익요약_직접이익_당월실적_당년비율,22.00%,18.00%,23.00%,20.00%,22.00%,21.00%,13.00%,11.00%,8.00%,6.00%,19.40%,
손익요약_직접이익_당월실적_전년비,-111,-134,18,-259,-4,115,61,-178,-279,-299,-78,
손익요약_직접이익_당월실적_YOY,81%,76%,103%,66%,99%,126%,117%,67%,50%,46%,87%,
손익요약_직접이익_연간누적_전년,585,"1,135","1,804","2,570","3,134","3,582","3,933","4,476","5,029","5,583","6,245",
손익요약_직접이익_연간누적_전년비율,25.00%,22.00%,23.00%,23.00%,22.00%,22.00%,22.00%,21.00%,21.00%,20.00%,33.70%,
손익요약_직접이익_연간누적_당년,474,889,"1,577","2,083","2,643","3,206","3,618","3,983","4,258","4,512","5,087",
손익요약_직접이익_연간누적_당년비율,22.00%,20.00%,21.00%,21.00%,21.00%,21.00%,19.00%,18.00%,17.00%,15.00%,26.40%,
손익요약_직접이익_연간누적_전년비,-111,-246,-227,-487,-491,-376,-315,-493,-772,"-1,071","-1,158",
손익요약_직접이익_연간누적_YOY,81%,78%,87%,81%,84%,90%,92%,89%,85%,81%,81%,
손익요약_영업비_당월실적_전년,490,475,270,532,572,463,696,613,573,664,716,
손익요약_영업비_당월실적_전년비율,30.00%,30.00%,15.00%,27.00%,30.00%,33.00%,58.00%,35.00%,33.00%,40.00%,37.80%,
손익요약_영업비_당월실적_당년,632,524,693,566,547,633,630,602,534,643,538,
손익요약_영업비_당월실적_당년비율,47.00%,42.00%,38.00%,35.00%,32.00%,37.00%,39.00%,38.00%,31.00%,33.00%,17.90%,
손익요약_영업비_당월실적_전년비,142,49,423,34,-26,169,-66,-11,-39,-21,-178,
손익요약_영업비_당월실적_YOY,129%,110%,257%,106%,96%,137%,91%,98%,93%,97%,74%,
손익요약_영업비_연간누적_전년,490,964,"1,234","1,766","2,339","2,802","3,498","4,111","4,684","5,348","6,064",
손익요약_영업비_연간누적_전년비율,30.00%,30.00%,25.00%,25.00%,26.00%,27.00%,30.00%,31.00%,31.00%,32.00%,32.70%,
손익요약_영업비_연간누적_당년,632,"1,156","1,849","2,414","2,961","3,594","4,224","4,826","5,360","6,003","6,531",
손익요약_영업비_연간누적_당년비율,47.00%,45.00%,42.00%,40.00%,38.00%,38.00%,38.00%,38.00%,37.00%,37.00%,33.80%,
손익요약_영업비_연간누적_전년비,142,191,614,648,622,792,726,715,676,655,467,
손익요약_영업비_연간누적_YOY,129%,120%,150%,137%,127%,128%,121%,117%,114%,112%,467,
손익요약_영업이익_당월실적_전년,96,75,400,233,-9,-15,-345,-70,-20,-111,-53,
손익요약_영업이익_당월실적_전년비율,6%,5%,22%,12%,0%,적자,적자,적자,적자,적자,적자,
손익요약_영업이익_당월실적_당년,-158,-109,-5,-60,13,-70,-219,-237,-259,-389,46,
손익요약_영업이익_당월실적_당년비율,적자전환,적자전환,적자전환,적자전환,흑자전환,적자,적자,적자,적자,적자,1.50%,
손익요약_영업이익_당월실적_전년비,-254,-184,-405,-293,22,-55,126,-167,-239,-278,100,
손익요약_영업이익_당월실적_YOY,적자전환,적자전환,적자전환,적자전환,흑자전환,적자,적자,적자,적자,적자,흑자전환,
손익요약_영업이익_연간누적_전년,96,170,570,803,795,780,435,365,346,235,181,
손익요약_영업이익_연간누적_전년비율,6.00%,5.00%,11.00%,11.00%,9.00%,8.00%,4.00%,3.00%,2.00%,1.00%,1.00%,
손익요약_영업이익_연간누적_당년,-158,-267,-272,-331,-318,-388,-606,-843,"-1,102","-1,491","-1,444",
손익요약_영업이익_연간누적_당년비율,적자,적자,적자,적자,적자,적자,적자,적자,적자,적자,적자,
손익요약_영업이익_연간누적_전년비,-254,-437,-842,"-1,134","-1,113","-1,168","-1,041","-1,208","-1,448","-1,726","-1,625",
손익요약_영업이익_연간누적_YOY,적자,적자,적자,적자,적자,적자,적자,적자,적자,적자,적자전환,
직접비요약_전체직접비율_누적_값,479,920,"1,506","2,096","2,688","3,255","3,823","4,358","5,084","5,954","6,810",
직접비요약_전체직접비율_누적_YOY,90%,94%,94%,95%,93%,92%,95%,95%,98%,104%,108%,
직접비요약_전체직접비율_누적_전년비,-52,-58,-92,-120,-209,-266,-199,-225,-91,220,509,
직접비요약_전체직접비율_누적_당년비율,36%,36%,34%,35%,35%,35%,35%,34%,35%,37%,35%,
직접비요약_전체직접비율_누적_전년비율,33%,31%,32%,32%,33%,34%,35%,35%,35%,34%,34%,
직접비요약_전체직접비율_누적_감소율,+3.0%p,+5.0%p,+2.0%p,+3.0%p,+2.0%p,+0.0%p,+0.0%p,+0.0%p,+1.0%p,+2.0%p,+1.0%p,
직접비요약_전체직접비율_당월_값,479,441,585,590,592,567,568,534,727,869,856,
직접비요약_전체직접비율_당월_YOY,90%,99%,94%,95%,87%,91%,113%,95%,123%,156%,151%,
직접비요약_전체직접비율_당월_전년비,-52,-6,-35,-28,-88,-57,67,-26,134,311,289,
직접비요약_전체직접비율_당월_당년비율,36%,38%,26%,29%,28%,28%,29%,30%,28%,25%,29.10%,
직접비요약_전체직접비율_당월_전년비율,33%,28%,34%,31%,36%,45%,42%,32%,34%,33%,30.00%,
직접비요약_전체직접비율_당월_감소율,+3.0%p,+10.0%p,-7.0%p,-2.0%p,-8.0%p,-16.0%p,-12.0%p,-2.0%p,-6.0%p,-8.0%p,-0.9%p,
직접비요약_운반비_누적_값,72,128,195,272,349,431,522,591,686,806,894,
직접비요약_운반비_누적_YOY,239%,118%,76%,79%,80%,78%,80%,78%,81%,85%,88%,
직접비요약_운반비_누적_전년비,42,19,-63,-72,-85,-122,-127,-165,-157,-137,-120,
직접비요약_운반비_누적_당년비율,5.40%,4.50%,3.70%,4.70%,4.50%,4.80%,5.60%,4.30%,5.60%,6.20%,2.90%,
직접비요약_운반비_누적_전년비율,1.90%,3.40%,5.10%,4.90%,4.90%,5.40%,5.60%,5.70%,5.60%,5.70%,5.50%,
직접비요약_운반비_누적_증감율,+3.5%p,+1.1%p,-1.4%p,-0.2%p,-0.3%p,-0.6%p,-0.1%p,-1.4%p,-0.0%p,+0.5%p,-2.6%p,
직접비요약_운반비_당월_값,72,56,67,77,77,82,91,68,95,120,88,
직접비요약_운반비_당월_YOY,239%,71%,45%,90%,85%,69%,95%,64%,109%,121%,122%,
직접비요약_운반비_당월_전년비,42,-23,-83,-9,-13,-37,-5,-38,8,21,16,
직접비요약_운반비_당월_당년비율,5.70%,4.50%,3.70%,4.70%,4.50%,4.80%,5.60%,4.30%,5.60%,6.20%,2.90%,
직접비요약_운반비_당월_전년비율,1.90%,4.90%,8.20%,4.30%,4.80%,8.50%,8.00%,6.10%,5.00%,5.90%,3.80%,
직접비요약_운반비_당월_증감율,+3.8%p,-0.4%p,-4.5%p,+0.4%p,-0.2%p,-3.7%p,-2.4%p,-1.8%p,+0.6%p,+0.3%p,-0.9%p,
팝업_운반비_US건당단가,,,6.38,8.63,6.19,7.48,8.72,5.93,8.75,8.96,8.6,
팝업_운반비_EU건당단가,,,10.66,11.74,16.41,25.22,5.81,8.3,8.66,9.13,2.85,
팝업_운반비_EU고객부담%,,,65.10%,60.80%,54.70%,57.10%,81.70%,74.00%,73.40%,70.90%,91.00%,
직접비요약_보관료_누적_값,69,139,238,337,435,524,635,747,850,972,"1,105",
직접비요약_보관료_누적_YOY,38%,50%,65%,73%,79%,83%,92%,98%,102%,108%,113%,
직접비요약_보관료_누적_전년비,-114,-137,-128,-124,-114,-111,-55,-16,19,72,127,
직접비요약_보관료_누적_당년비율,5%,5%,5%,6%,6%,6%,6%,6%,6%,6%,5.80%,
직접비요약_보관료_누적_전년비율,11%,9%,7%,7%,6%,6%,6%,6%,6%,5%,5.00%,
직접비요약_보관료_누적_감소율,-6.0%p,-3.0%p,-2.0%p,-1.0%p,-1.0%p,-1.0%p,+0.0%p,+0.0%p,+0.0%p,+1.0%p,+0.8%p,
직접비요약_보관료_당월_값,69,70,99,99,98,89,111,112,103,122,133,
직접비요약_보관료_당월_YOY,37%,75%,109%,105%,111%,103%,202%,152%,153%,176%,171%,
직접비요약_보관료_당월_전년비,-115,-23,8,5,10,2,56,38,36,53,55,
직접비요약_보관료_당월_당년비율,5%,6%,5%,6%,6%,5%,7%,7%,6%,6%,4%,
직접비요약_보관료_당월_전년비율,11%,6%,5%,5%,5%,6%,5%,4%,4%,4%,4%,
직접비요약_보관료_당월_감소율,-6.3%p,-0.2%p,+0.5%p,+1.3%p,+1.1%p,-0.9%p,+2.2%p,+2.8%p,+2.2%p,+2.2%p,-0.1%p,
직접비요약_SEM광고비_누적_값,194,380,638,891,"1,164","1,424","1,637","1,862","2,237","2,696","3,153",
직접비요약_SEM광고비_누적_YOY,95%,106%,104%,102%,97%,96%,95%,94%,98%,107%,113%,
직접비요약_SEM광고비_누적_전년비,-9,22,23,17,-37,-53,-78,-122,-52,168,357,
직접비요약_SEM광고비_누적_당년비율,14%,15%,15%,15%,15%,15%,15%,15%,16%,17%,16%,
직접비요약_SEM광고비_누적_전년비율,13%,11%,12%,12%,13%,14%,15%,15%,15%,15%,15%,
직접비요약_SEM광고비_누적_감소율,+1.9%p,+3.5%p,+2.3%p,+2.3%p,+1.6%p,+0.8%p,△0.1%p,△0.3%p,+0.3%p,+1.4%p,+1.0%p,
직접비요약_SEM광고비_당월_값,194,186,259,253,273,260,213,224,375,459,457,
직접비요약_SEM광고비_당월_YOY,95%,120%,100%,98%,84%,94%,89%,84%,123%,191%,171%,
직접비요약_SEM광고비_당월_전년비,-9,31,1,-6,-54,-16,-26,-43,70,219,189,
직접비요약_SEM광고비_당월_당년비율,14%,15%,14%,15%,16%,15%,13%,14%,22%,24%,15%,
직접비요약_SEM광고비_당월_전년비율,13%,10%,14%,13%,17%,20%,20%,15%,18%,14%,14%,
직접비요약_SEM광고비_당월_감소율,+1.9%p,+5.2%p,+0.2%p,+2.4%p,△1.2%p,△4.4%p,△6.8%p,△1.3%p,+4.5%p,+9.4%p,+1.0%p,
직접비요약_지급수수료_누적_값,145,274,435,595,740,877,"1,030","1,159","1,312","1,481","1,659",
직접비요약_지급수수료_누적_YOY,126%,117%,122%,111%,104%,102%,106%,107%,108%,109%,110%,
직접비요약_지급수수료_누적_당년비율,8.50%,8.60%,8.80%,8.90%,9.10%,9.20%,9.30%,9.50%,9.70%,9.90%,8.60%,
직접비요약_지급수수료_누적_전년비율,8.00%,8.10%,8.30%,8.40%,8.50%,8.60%,8.70%,8.80%,8.90%,9.00%,8.20%,
직접비요약_지급수수료_누적_증감율,+0.5%p,+0.5%p,+0.5%p,+0.5%p,+0.6%p,+0.6%p,+0.6%p,+0.7%p,+0.8%p,+0.9%p,+0.4%p,
직접비요약_지급수수료_당월_값,145,129,161,160,145,137,153,129,153,168,178,
직접비요약_지급수수료_당월_YOY,126%,107%,131%,89%,82%,95%,137%,115%,115%,113%,120%,
직접비요약_지급수수료_당월_당년비율,8.20%,8.30%,8.50%,8.60%,8.70%,8.80%,8.90%,9.00%,9.20%,9.30%,5.90%,
직접비요약_지급수수료_당월_전년비율,7.60%,7.80%,8.10%,8.20%,8.30%,8.40%,8.40%,8.50%,8.50%,8.60%,7.80%,
직접비요약_지급수수료_당월_증감율,+0.6%p,+0.5%p,+0.4%p,+0.4%p,+0.4%p,+0.4%p,+0.5%p,+0.5%p,+0.7%p,+0.7%p,-1.9%p,
직접비요약_지급수수료_당월_전년비,145,129,161,160,145,137,153,129,153,168,30,
영업비요약_전체영업비용_누적_값,632,"1,156","1,849","2,414","2,961","3,594","4,224","4,826","5,360","6,003","6,531",
영업비요약_전체영업비용_누적_YOY,129%,120%,150%,137%,127%,128%,121%,117%,114%,112%,108%,
